energy_%,bpm,danceability_%,liveness_%,valence_%,speechiness_%,instrumentalness_%
0.51,119.994,0.829,0.0829,0.45,0.0369,0.00143
0.869,127.966,0.616,0.064,0.473,0.0327,0.0
0.915,126.094,0.544,0.115,0.51,0.0841,0.000914
0.741,119.896,0.72,0.289,0.357,0.0287,1.41e-05
0.697,122.746,0.613,0.332,0.476,0.133,0.0
0.634,113.927,0.704,0.0952,0.411,0.0428,3.17e-05
0.861,117.965,0.73,0.213,0.704,0.0451,0.0
0.989,126.002,0.621,0.184,0.0348,0.0434,0.357
0.805,126.008,0.506,0.0856,0.383,0.0469,0.00193
0.695,104.879,0.583,0.0527,0.224,0.0423,0.0
0.862,128.036,0.498,0.352,0.469,0.0588,0.00918
0.857,119.975,0.56,0.381,0.432,0.0384,0.0
0.781,128.0,0.509,0.0749,0.176,0.072,0.0
0.73,85.979,0.596,0.325,0.525,0.151,0.0
0.568,117.973,0.78,0.0698,0.459,0.031,0.000168
0.463,121.999,0.778,0.0731,0.496,0.0389,0.00289
0.774,112.05,0.674,0.393,0.33,0.0892,0.00188
0.81,126.052,0.572,0.13,0.11,0.0558,6.53e-06
0.781,119.977,0.751,0.036,0.814,0.0862,0.0
0.586,120.97,0.799,0.193,0.549,0.0377,2.03e-06
0.72,122.031,0.789,0.129,0.664,0.218,0.0
0.62,120.031,0.798,0.112,0.235,0.232,0.0192
0.622,102.04,0.69,0.116,0.544,0.0622,0.0
0.736,130.011,0.75,0.265,0.355,0.155,0.0
0.802,100.001,0.713,0.309,0.343,0.0561,0.00377
0.906,125.916,0.711,0.153,0.824,0.0284,1.64e-05
0.921,130.072,0.691,0.331,0.8,0.0533,0.0
0.795,121.294,0.956,0.0906,0.841,0.15,0.889
0.833,129.885,0.551,0.0632,0.145,0.03,2.77e-06
0.817,128.078,0.883,0.11,0.595,0.235,0.00449
0.748,125.896,0.503,0.343,0.356,0.0619,0.0
0.392,75.066,0.599,0.131,0.26,0.0257,0.000107
0.604,159.92,0.561,0.104,0.242,0.0337,1.9e-05
0.473,152.88,0.591,0.108,0.451,0.0708,0.00334
0.592,157.969,0.521,0.122,0.535,0.0304,0.0
0.507,104.978,0.747,0.117,0.438,0.0358,0.0608
0.582,116.712,0.7,0.0881,0.785,0.0356,0.0
0.76,103.969,0.701,0.185,0.69,0.0285,6.54e-05
0.604,159.92,0.561,0.104,0.242,0.0337,1.9e-05
0.882,148.038,0.569,0.142,0.201,0.06,0.0
0.601,123.994,0.635,0.11,0.332,0.0295,0.0
0.757,139.982,0.742,0.305,0.957,0.0421,0.0
0.472,101.061,0.898,0.141,0.214,0.0776,0.0
0.583,181.489,0.432,0.0933,0.544,0.0687,0.0
0.709,81.012,0.722,0.0804,0.604,0.0273,0.0
0.782,119.992,0.727,0.225,0.655,0.042,0.336
0.745,180.098,0.464,0.363,0.262,0.161,0.0
0.586,107.071,0.669,0.104,0.579,0.054,0.0
0.965,128.04,0.561,0.371,0.304,0.0343,7.07e-06
0.544,132.052,0.571,0.322,0.216,0.0299,0.00805
0.854,140.515,0.477,0.065,0.314,0.275,0.0
0.471,105.029,0.472,0.14,0.219,0.0603,0.0
0.667,130.019,0.776,0.0761,0.618,0.0983,0.3
0.946,151.647,0.599,0.0826,0.747,0.0447,0.0106
0.855,127.986,0.638,0.245,0.731,0.0264,0.0
0.642,179.974,0.745,0.0658,0.226,0.287,0.0
0.829,139.198,0.476,0.167,0.505,0.0658,0.00916
0.552,144.941,0.64,0.119,0.112,0.129,0.0
0.453,139.943,0.915,0.104,0.287,0.27,0.000163
0.787,119.996,0.704,0.159,0.31,0.0462,0.00538
0.618,126.031,0.853,0.0972,0.32,0.0923,0.89
0.751,129.994,0.701,0.15,0.22,0.0502,0.0
0.957,126.035,0.804,0.114,0.962,0.034,0.0174
0.457,146.04,0.592,0.146,0.225,0.0603,0.000331
0.792,100.011,0.687,0.167,0.671,0.0452,0.0
0.676,162.012,0.814,0.119,0.312,0.231,1.28e-05
0.522,89.96,0.755,0.0685,0.925,0.0575,0.0
0.622,130.001,0.847,0.285,0.22,0.0903,0.0
0.668,90.969,0.646,0.212,0.64,0.0282,0.0
0.733,172.09,0.625,0.375,0.244,0.0488,0.000983
0.642,83.389,0.463,0.0686,0.339,0.34,0.0
0.761,129.963,0.634,0.549,0.785,0.0472,0.0
0.537,128.009,0.921,0.102,0.711,0.0804,0.00404
0.745,165.995,0.808,0.292,0.829,0.342,0.0
0.741,120.064,0.771,0.111,0.19,0.0374,0.000163
0.727,130.035,0.887,0.213,0.932,0.135,1.16e-06
0.95,150.019,0.673,0.398,0.563,0.0488,0.0823
0.62,120.042,0.857,0.0934,0.796,0.0472,0.244
0.887,127.003,0.936,0.0582,0.889,0.0683,1.88e-06
0.646,115.842,0.645,0.074,0.295,0.0427,3.04e-05
0.586,116.971,0.896,0.79,0.642,0.0559,0.0
0.558,104.983,0.943,0.0937,0.606,0.0568,2.19e-06
0.75,155.096,0.732,0.109,0.401,0.231,0.0
0.764,140.113,0.882,0.119,0.886,0.204,0.0
0.632,121.031,0.762,0.18,0.282,0.085,0.000205
0.512,80.511,0.829,0.12,0.638,0.187,0.0
0.716,91.007,0.701,0.324,0.732,0.0361,0.0
0.773,129.923,0.681,0.0978,0.504,0.0345,0.734
0.673,165.921,0.529,0.093,0.366,0.175,2.41e-06
0.583,116.624,0.709,0.195,0.533,0.204,2.97e-06
0.797,122.011,0.702,0.179,0.0356,0.0557,0.495
0.681,139.057,0.918,0.0615,0.706,0.201,0.0
0.753,127.926,0.671,0.177,0.543,0.0298,1.29e-05
0.761,146.003,0.62,0.269,0.194,0.175,0.000147
0.452,90.026,0.904,0.115,0.613,0.132,0.0
0.512,96.02,0.803,0.0928,0.435,0.066,0.0
0.643,139.948,0.831,0.084,0.142,0.11,0.0
0.567,75.965,0.574,0.258,0.526,0.465,0.0
0.593,120.509,0.565,0.215,0.429,0.0883,0.0
0.83,75.023,0.767,0.0582,0.187,0.206,0.836
0.523,169.982,0.628,0.219,0.416,0.0946,0.00274
0.934,88.009,0.777,0.275,0.637,0.254,3.86e-05
0.927,109.952,0.755,0.0567,0.702,0.0645,0.925
0.62,117.038,0.741,0.0398,0.934,0.0412,0.000809
0.64,130.051,0.537,0.157,0.222,0.104,0.878
0.963,130.028,0.817,0.312,0.502,0.0353,0.767
0.556,99.974,0.864,0.112,0.726,0.194,3.85e-06
0.803,130.028,0.877,0.087,0.795,0.0507,0.056
0.573,140.04,0.911,0.403,0.972,0.288,0.0
0.629,130.017,0.848,0.049,0.586,0.0424,0.18
0.777,108.005,0.58,0.342,0.589,0.0655,0.0
0.539,158.105,0.65,0.114,0.253,0.0561,2.67e-05
0.672,136.902,0.673,0.193,0.14,0.224,0.000284
0.818,125.952,0.687,0.248,0.886,0.0778,0.0
0.687,123.01,0.755,0.125,0.381,0.101,0.000177
0.919,151.221,0.83,0.0757,0.848,0.145,0.748
0.738,130.0,0.593,0.292,0.591,0.0351,0.968
0.81,150.251,0.613,0.137,0.686,0.488,0.899
0.967,149.036,0.628,0.274,0.399,0.0485,4.67e-05
0.897,129.975,0.686,0.153,0.355,0.0386,0.103
0.793,120.003,0.696,0.18,0.698,0.097,3.78e-06
0.781,128.001,0.805,0.0598,0.818,0.0434,0.302
0.848,135.048,0.721,0.097,0.774,0.0266,2.11e-06
0.742,114.071,0.773,0.0754,0.571,0.046,0.0
0.527,77.499,0.824,0.368,0.212,0.118,0.0
0.655,163.997,0.475,0.375,0.245,0.33,0.0
0.895,125.985,0.762,0.204,0.757,0.0734,0.142
0.915,154.964,0.737,0.084,0.304,0.0412,2.58e-05
0.85,106.036,0.815,0.0245,0.694,0.113,0.000143
0.546,118.051,0.76,0.103,0.113,0.0616,0.924
0.86,146.441,0.585,0.18,0.607,0.116,0.000142
0.636,75.486,0.654,0.412,0.267,0.0845,0.0
0.765,145.988,0.588,0.2,0.492,0.0518,3.23e-05
0.758,165.409,0.681,0.555,0.331,0.188,0.0
0.683,145.379,0.501,0.0685,0.623,0.211,9.25e-05
0.819,110.14,0.726,0.27,0.636,0.106,9.65e-05
0.529,112.014,0.782,0.413,0.44,0.0592,1.42e-06
0.634,101.837,0.502,0.188,0.645,0.144,0.0341
0.841,147.989,0.754,0.0903,0.838,0.0921,0.0
0.814,93.482,0.683,0.0858,0.758,0.0466,0.00826
0.792,113.981,0.749,0.0712,0.903,0.0402,1.63e-05
0.705,197.98,0.374,0.14,0.718,0.145,0.0
0.648,93.2,0.737,0.105,0.746,0.138,6.92e-06
0.719,113.012,0.897,0.0677,0.546,0.157,0.000531
0.52,95.865,0.578,0.124,0.425,0.151,3.38e-06
0.651,67.813,0.49,0.108,0.567,0.138,7.59e-06
0.935,166.008,0.574,0.367,0.836,0.0926,1.07e-06
0.941,101.921,0.577,0.0891,0.292,0.105,3.36e-06
0.794,149.923,0.531,0.082,0.775,0.0964,0.0
0.898,151.99,0.479,0.297,0.639,0.169,0.0
0.822,157.013,0.853,0.166,0.746,0.246,0.00985
0.905,141.131,0.545,0.182,0.735,0.0684,0.0
0.571,101.955,0.695,0.118,0.726,0.111,3.58e-06
0.811,139.959,0.693,0.106,0.944,0.0313,0.0
0.808,115.063,0.576,0.127,0.172,0.0407,0.0
0.951,169.955,0.436,0.149,0.428,0.202,0.0
0.514,82.05,0.829,0.231,0.757,0.0531,1.45e-06
0.836,105.173,0.543,0.153,0.56,0.0353,0.431
0.908,159.756,0.285,0.311,0.669,0.0705,0.00909
0.704,118.242,0.43,0.0933,0.703,0.0804,0.00221
0.934,127.066,0.417,0.132,0.287,0.119,0.0015
0.891,92.049,0.283,0.159,0.226,0.178,0.0038
0.695,102.178,0.437,0.124,0.413,0.0617,0.0857
0.763,148.366,0.365,0.0865,0.342,0.0591,0.000457
0.908,114.816,0.415,0.082,0.437,0.0765,0.0345
0.982,143.772,0.354,0.204,0.194,0.168,0.000294
0.828,123.257,0.577,0.0581,0.604,0.0298,0.0114
0.916,118.004,0.58,0.126,0.683,0.0387,0.0259
0.898,103.299,0.353,0.39,0.525,0.052,0.105
0.963,125.033,0.59,0.0781,0.586,0.0676,0.000105
0.949,129.984,0.554,0.2,0.233,0.0787,9.98e-05
0.781,71.841,0.443,0.166,0.372,0.0377,0.205
0.714,107.441,0.567,0.186,0.191,0.0302,0.417
0.821,94.895,0.669,0.147,0.684,0.29,0.0
0.72,103.314,0.916,0.0958,0.761,0.1,0.00016
0.661,76.71,0.836,0.449,0.753,0.338,0.0
0.733,95.107,0.883,0.334,0.946,0.128,0.00026
0.463,124.084,0.929,0.0634,0.755,0.308,5.3e-06
0.775,93.431,0.816,0.0543,0.527,0.234,0.00031
0.697,93.941,0.901,0.287,0.67,0.28,0.0
0.505,99.935,0.535,0.0923,0.495,0.245,0.0
0.63,95.0,0.874,0.0582,0.717,0.298,0.00479
0.786,93.857,0.763,0.0817,0.504,0.229,0.0114
0.706,174.039,0.584,0.125,0.579,0.366,0.0
0.62,94.121,0.9,0.0647,0.867,0.312,0.00156
0.818,96.063,0.889,0.179,0.782,0.253,0.0
0.821,94.895,0.669,0.147,0.684,0.29,0.0
0.514,181.033,0.512,0.126,0.565,0.387,0.00958
0.611,102.304,0.897,0.0894,0.769,0.211,0.186
0.734,97.044,0.918,0.191,0.608,0.269,8.01e-06
0.91,84.099,0.665,0.227,0.887,0.223,0.0
0.735,101.368,0.934,0.107,0.768,0.251,8.6e-06
0.54,84.115,0.773,0.131,0.322,0.103,0.0
0.703,94.828,0.813,0.237,0.241,0.268,1.26e-06
0.884,104.536,0.845,0.203,0.904,0.0759,2.1e-06
0.666,96.662,0.848,0.129,0.744,0.274,0.000699
0.732,172.329,0.598,0.508,0.595,0.425,0.0
0.767,127.361,0.532,0.39,0.755,0.0574,0.000513
0.795,112.067,0.645,0.104,0.535,0.0527,0.00389
0.802,119.25,0.491,0.387,0.472,0.0392,0.0
0.373,92.718,0.671,0.0481,0.732,0.0323,8.01e-05
0.7,188.386,0.31,0.0828,0.763,0.047,0.00965
0.942,148.723,0.527,0.188,0.495,0.0366,0.0
0.959,122.805,0.541,0.344,0.812,0.0505,2.18e-06
0.834,139.13,0.509,0.0732,0.774,0.0386,0.0
0.836,113.375,0.743,0.384,0.82,0.116,0.0
0.712,113.805,0.671,0.103,0.462,0.0476,0.0
0.716,94.379,0.535,0.659,0.901,0.0431,0.0
0.932,122.431,0.631,0.0918,0.971,0.0354,0.137
0.835,129.981,0.572,0.0702,0.795,0.0317,0.000377
0.449,84.383,0.623,0.0613,0.573,0.0253,0.0
0.843,117.662,0.529,0.0608,0.188,0.0616,0.000827
0.873,106.767,0.389,0.273,0.303,0.0475,0.0055
0.768,81.909,0.558,0.124,0.429,0.0343,0.0626
0.549,176.941,0.516,0.184,0.907,0.0373,0.00572
0.758,112.113,0.489,0.092,0.435,0.0297,0.49
0.952,122.093,0.398,0.1,0.584,0.061,7.75e-05
0.478,114.02,0.766,0.165,0.965,0.0329,2.49e-06
0.953,84.989,0.267,0.283,0.568,0.096,0.0
0.803,150.036,0.253,0.309,0.258,0.0392,0.0146
0.978,141.167,0.526,0.0744,0.451,0.108,4.75e-05
0.811,126.59,0.561,0.287,0.635,0.0265,3.66e-05
0.872,129.885,0.797,0.284,0.866,0.0575,0.0
0.908,159.756,0.285,0.311,0.669,0.0705,0.00909
0.528,109.975,0.932,0.163,0.757,0.161,0.329
0.812,127.568,0.691,0.299,0.685,0.0558,1.16e-06
0.93,190.818,0.398,0.0874,0.725,0.0615,0.121
0.942,97.909,0.511,0.139,0.498,0.0429,1.87e-05
0.899,152.445,0.475,0.14,0.603,0.0637,1.91e-05
0.96,131.707,0.469,0.334,0.37,0.0629,1.81e-06
0.96,117.486,0.574,0.121,0.978,0.032,0.0
0.58,127.402,0.741,0.212,0.944,0.0304,3.61e-05
0.763,148.366,0.365,0.0865,0.342,0.0591,0.000457
0.804,111.457,0.591,0.0818,0.658,0.0454,5.98e-06
0.427,119.18,0.753,0.058,0.295,0.0387,0.00065
0.506,140.309,0.799,0.0365,0.518,0.0606,0.00107
0.737,125.447,0.785,0.108,0.971,0.0363,0.000107
0.846,107.01,0.659,0.203,0.659,0.0274,0.0144
0.833,142.663,0.553,0.0737,0.773,0.0347,0.00246
0.858,133.615,0.503,0.0803,0.419,0.0657,0.00234
0.632,140.176,0.531,0.364,0.294,0.0312,1.14e-05
0.691,119.96,0.823,0.1,0.707,0.197,1.73e-06
0.78,134.937,0.724,0.139,0.72,0.354,0.0
0.693,87.973,0.702,0.0702,0.572,0.191,0.0
0.926,105.969,0.682,0.19,0.86,0.0607,0.0
0.628,140.053,0.668,0.0293,0.568,0.046,0.0
0.747,120.073,0.745,0.0738,0.363,0.0815,1.69e-06
0.786,91.992,0.695,0.109,0.465,0.0666,1.41e-06
0.597,170.022,0.77,0.239,0.875,0.223,0.0
0.782,108.038,0.875,0.113,0.906,0.078,0.0
0.895,124.994,0.803,0.154,0.757,0.0623,5.67e-06
0.728,140.041,0.774,0.0473,0.461,0.169,0.0
0.5,101.959,0.871,0.0672,0.76,0.103,3.49e-06
0.774,109.945,0.801,0.0968,0.383,0.157,0.0
0.872,131.016,0.644,0.363,0.378,0.0417,0.0
0.592,157.969,0.521,0.122,0.535,0.0304,0.0
0.783,149.027,0.777,0.355,0.939,0.26,0.0
0.507,104.978,0.747,0.117,0.438,0.0358,0.0608
0.808,108.548,0.554,0.159,0.372,0.0368,0.0
0.756,116.034,0.66,0.193,0.838,0.032,0.0
0.711,146.921,0.487,0.152,0.317,0.0322,0.0
0.413,94.938,0.494,0.193,0.273,0.0254,6.72e-05
0.907,112.964,0.674,0.297,0.721,0.064,0.0
0.651,112.648,0.694,0.0787,0.471,0.0784,1.36e-05
0.247,148.101,0.467,0.17,0.126,0.0431,0.000271
0.776,103.963,0.699,0.205,0.708,0.0293,5.36e-06
0.722,119.973,0.769,0.111,0.57,0.0507,2.56e-06
0.582,116.712,0.7,0.0881,0.785,0.0356,0.0
0.563,105.008,0.833,0.139,0.343,0.204,1.27e-05
0.627,150.273,0.336,0.0708,0.35,0.0384,0.0
0.598,107.732,0.733,0.156,0.935,0.0278,3.71e-06
0.471,105.029,0.472,0.14,0.219,0.0603,0.0
0.668,128.027,0.924,0.0678,0.787,0.0469,0.000594
0.872,184.115,0.466,0.121,0.806,0.0336,0.0
0.586,107.015,0.675,0.104,0.621,0.0531,0.0
0.406,115.94,0.53,0.133,0.338,0.033,0.0
0.369,174.097,0.448,0.638,0.0998,0.0452,0.272
0.627,155.865,0.687,0.0893,0.47,0.181,0.0
0.807,124.053,0.612,0.101,0.398,0.0336,0.0177
0.417,67.528,0.464,0.0974,0.479,0.0256,0.022
0.604,159.92,0.561,0.104,0.242,0.0337,1.9e-05
0.559,78.558,0.558,0.109,0.62,0.0959,7.49e-06
0.661,173.372,0.429,0.234,0.285,0.0281,0.000121
0.812,80.09,0.505,0.444,0.664,0.461,0.0
0.56,134.066,0.853,0.0944,0.86,0.0406,0.0
0.698,143.994,0.726,0.309,0.867,0.0431,0.0
0.727,94.99,0.739,0.104,0.676,0.0426,0.0
0.555,96.063,0.392,0.13,0.191,0.039,0.000253
0.52,120.001,0.672,0.115,0.37,0.0353,0.0
0.47,67.086,0.598,0.505,0.879,0.0496,0.0
0.64,84.828,0.264,0.151,0.19,0.0442,2.31e-06
0.841,109.021,0.635,0.0622,0.424,0.0422,0.0
0.706,80.969,0.722,0.067,0.599,0.0292,0.0
0.757,142.579,0.482,0.143,0.12,0.0355,0.0016
0.715,155.925,0.315,0.0942,0.497,0.0362,7.97e-06
0.864,105.143,0.556,0.209,0.4,0.0584,0.0
0.643,117.025,0.74,0.0407,0.96,0.0413,0.00229
0.725,130.504,0.633,0.205,0.64,0.0427,0.0
0.731,101.654,0.483,0.151,0.484,0.0381,0.0
0.928,127.939,0.571,0.297,0.488,0.0453,0.0
0.513,109.935,0.745,0.216,0.929,0.087,0.0
0.689,120.208,0.724,0.0922,0.936,0.0524,6.77e-06
0.621,191.868,0.525,0.291,0.592,0.117,0.0
0.424,119.705,0.754,0.0652,0.806,0.0363,0.0
0.646,115.842,0.645,0.074,0.295,0.0427,3.04e-05
0.789,91.911,0.757,0.0717,0.464,0.0583,0.0
0.778,96.057,0.911,0.179,0.345,0.262,2.16e-05
0.786,111.989,0.781,0.107,0.759,0.0885,5.88e-06
0.411,169.934,0.584,0.0955,0.412,0.0838,4.47e-05
0.804,110.982,0.82,0.064,0.844,0.0528,0.00215
0.522,110.427,0.75,0.0743,0.601,0.0293,0.0
0.888,130.97,0.617,0.162,0.771,0.0402,0.0
0.856,123.031,0.748,0.142,0.927,0.0348,0.0
0.673,92.06,0.453,0.131,0.266,0.144,0.0
0.686,79.928,0.647,0.528,0.268,0.0413,1.34e-06
0.595,108.02,0.777,0.0669,0.546,0.0375,0.00139
0.588,142.004,0.872,0.17,0.93,0.0492,0.0
0.498,122.016,0.876,0.143,0.428,0.0478,0.0
0.69,151.991,0.839,0.176,0.744,0.0615,8.33e-06
0.616,103.071,0.797,0.0979,0.451,0.375,0.000293
0.516,111.005,0.87,0.11,0.53,0.0541,0.00823
0.543,139.929,0.84,0.128,0.74,0.0568,0.0
0.623,130.037,0.919,0.0609,0.775,0.0992,1.63e-05
0.782,128.033,0.621,0.23,0.55,0.044,0.033
0.524,83.97,0.653,0.203,0.553,0.0502,0.0
0.586,189.978,0.326,0.0787,0.295,0.0605,0.0
0.662,93.976,0.892,0.363,0.607,0.162,1.24e-06
0.724,83.118,0.569,0.27,0.562,0.0474,0.0
0.421,98.224,0.537,0.138,0.524,0.0285,0.0
0.665,100.09,0.858,0.119,0.659,0.152,0.0
0.534,93.924,0.832,0.165,0.116,0.253,0.0
0.542,135.14,0.926,0.0877,0.564,0.293,0.0
0.73,155.008,0.834,0.124,0.446,0.222,0.0
0.564,77.972,0.856,0.134,0.483,0.392,0.0
0.576,166.162,0.77,0.08,0.364,0.339,0.0
0.716,91.007,0.701,0.324,0.732,0.0361,0.0
0.658,140.042,0.8,0.111,0.462,0.079,0.0
0.882,148.038,0.569,0.142,0.201,0.06,0.0
0.662,112.509,0.897,0.534,0.39,0.292,0.0
0.346,119.957,0.963,0.108,0.562,0.53,0.0
0.524,140.053,0.747,0.2,0.363,0.245,0.0
0.444,140.063,0.906,0.173,0.678,0.384,6.44e-05
0.639,168.112,0.772,0.0698,0.261,0.467,0.0
0.487,127.05,0.964,0.115,0.108,0.421,6.07e-06
0.347,75.016,0.884,0.0871,0.376,0.35,7e-06
0.619,127.956,0.962,0.083,0.154,0.405,0.0
0.395,76.984,0.793,0.109,0.128,0.385,1.4e-05
0.353,87.997,0.797,0.102,0.0731,0.369,0.0
0.516,119.996,0.877,0.143,0.255,0.0706,0.0
0.744,84.005,0.867,0.0713,0.645,0.227,0.0
0.515,120.1,0.567,0.078,0.321,0.247,0.0
0.463,108.003,0.97,0.151,0.46,0.366,0.0
0.662,143.943,0.767,0.123,0.259,0.0578,0.0
0.622,130.001,0.847,0.285,0.22,0.0903,0.0
0.701,134.039,0.71,0.178,0.564,0.0317,0.0
0.727,150.062,0.477,0.108,0.227,0.286,0.0
0.48,143.029,0.846,0.0989,0.419,0.359,0.0
0.651,163.935,0.665,0.0896,0.237,0.156,0.0
0.692,79.899,0.623,0.153,0.566,0.0504,0.0
0.572,141.996,0.823,0.113,0.568,0.0865,0.0
0.613,149.972,0.65,0.267,0.0804,0.128,0.0
0.529,161.989,0.671,0.0856,0.203,0.307,0.000335
0.736,147.946,0.776,0.159,0.233,0.247,0.0
0.801,104.986,0.778,0.0912,0.914,0.106,0.000155
0.819,110.14,0.726,0.27,0.636,0.106,9.65e-05
0.651,67.813,0.49,0.108,0.567,0.138,7.59e-06
0.653,150.097,0.547,0.103,0.163,0.081,0.0
0.552,144.941,0.64,0.119,0.112,0.129,0.0
0.552,119.476,0.765,0.193,0.492,0.309,0.0
0.764,140.113,0.882,0.119,0.886,0.204,0.0
0.634,101.837,0.502,0.188,0.645,0.144,0.0341
0.64,112.984,0.869,0.0747,0.535,0.0424,0.00119
0.719,113.012,0.897,0.0677,0.546,0.157,0.000531
0.668,87.973,0.573,0.109,0.145,0.0467,4.01e-05
0.52,95.865,0.578,0.124,0.425,0.151,3.38e-06
0.841,147.989,0.754,0.0903,0.838,0.0921,0.0
0.683,145.379,0.501,0.0685,0.623,0.211,9.25e-05
0.648,93.2,0.737,0.105,0.746,0.138,6.92e-06
0.541,139.978,0.716,0.115,0.387,0.149,0.0
0.874,118.079,0.774,0.413,0.927,0.0488,0.34
0.52,120.001,0.672,0.115,0.37,0.0353,0.0
0.366,141.981,0.604,0.133,0.13,0.0282,0.0
0.422,119.964,0.53,0.107,0.349,0.0342,0.0
0.264,119.93,0.422,0.132,0.331,0.0322,0.0
0.547,95.0,0.778,0.132,0.442,0.0489,0.000306
0.706,122.013,0.663,0.115,0.474,0.0383,0.0
0.779,173.799,0.468,0.101,0.26,0.0779,0.000373
0.661,173.372,0.429,0.234,0.285,0.0281,0.000121
0.454,159.982,0.689,0.0707,0.912,0.0584,0.00259
0.715,155.925,0.315,0.0942,0.497,0.0362,7.97e-06
0.5,117.896,0.664,0.0966,0.801,0.0651,0.0
0.28,72.795,0.612,0.088,0.387,0.0434,0.0
0.663,121.07,0.6,0.119,0.286,0.0477,0.0
0.537,122.769,0.445,0.0944,0.131,0.04,1.65e-05
0.635,103.019,0.617,0.164,0.446,0.0317,1.44e-05
0.296,115.284,0.351,0.095,0.12,0.0333,0.0
0.697,138.992,0.74,0.224,0.732,0.034,0.0
0.652,95.977,0.825,0.0931,0.931,0.0802,0.0
0.192,175.212,0.369,0.0954,0.148,0.04,8.35e-06
0.841,109.021,0.635,0.0622,0.424,0.0422,0.0
0.557,85.043,0.358,0.0902,0.494,0.059,0.0
0.607,81.001,0.684,0.191,0.498,0.1,0.000307
0.448,95.05,0.599,0.106,0.168,0.0232,0.0
0.442,146.277,0.557,0.11,0.213,0.0243,1.46e-05
0.552,75.881,0.346,0.114,0.0789,0.0282,0.0
0.822,167.997,0.604,0.147,0.288,0.0438,0.134
0.543,68.534,0.359,0.118,0.453,0.0919,1.58e-05
0.763,120.042,0.695,0.0863,0.551,0.0396,0.00242
0.425,102.078,0.357,0.322,0.27,0.0333,0.0
0.741,153.96,0.601,0.415,0.441,0.0478,2.91e-05
0.713,120.032,0.742,0.059,0.879,0.0303,0.0
0.379,107.989,0.614,0.0986,0.201,0.0476,0.000464
0.754,149.789,0.752,0.0486,0.755,0.0615,0.0
0.417,138.178,0.209,0.113,0.124,0.0338,0.00196
0.603,97.994,0.712,0.115,0.67,0.0262,0.0
0.574,111.881,0.459,0.0885,0.183,0.0577,0.0
0.648,96.888,0.633,0.161,0.49,0.062,2.62e-06
0.776,77.987,0.585,0.3,0.427,0.0459,7.74e-06
0.585,139.631,0.449,0.0833,0.212,0.0268,8.75e-05
0.327,91.05,0.775,0.0821,0.595,0.0557,0.0
0.445,78.998,0.781,0.184,0.591,0.0295,0.0
0.638,79.064,0.481,0.154,0.497,0.0276,0.0
0.845,110.056,0.671,0.329,0.775,0.048,0.0
